Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,like_groups
0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,1327396.0,15.0
0.834,0.699,5.0,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,272533.0,4899065.0,18.0
0.659,0.628,0.0,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,219427.0,1594576.0,15.0
0.965,0.485,2.0,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523.0,5488829.0,19.0
0.649,0.931,1.0,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,213067.0,4746197.0,18.0
0.66,0.942,4.0,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158571.0,61252.0,6.0
0.798,0.629,11.0,-6.857,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,284373.0,2094991.0,16.0
0.732,0.716,10.0,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855.0,6398855.0,19.0
0.872,0.789,1.0,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,236190.0,242932.0,10.0
0.932,0.457,11.0,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227.0,9523245.0,20.0
0.776,0.711,3.0,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400.0,6656468.0,19.0
0.853,0.981,8.0,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257760.0,672624.0,13.0
0.808,0.535,1.0,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627.0,2269865.0,16.0
0.878,0.821,11.0,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365467.0,2254295.0,16.0
0.859,0.905,0.0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284160.0,8312571.0,20.0
0.831,0.921,5.0,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239227.0,3085718.0,17.0
0.877,0.854,1.0,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120.0,2515830.0,17.0
0.775,0.719,7.0,-6.212,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027.0,2121502.0,16.0
0.778,0.547,2.0,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733.0,6420621.0,19.0
0.668,0.802,5.0,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,225789.0,216805.0,9.0
