Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.668,0.802,5,-4.005,0.0917,0.0273,0,0.163,0.769,113.796,225789,216805
0.7,0.709,7,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,202960,1026177
0.674,0.628,2,-7.079,0.03,0.00144,0,0.0944,0.552,103.998,247907,2554163
0.534,0.87,11,-3.078,0.0425,0.000334,0,0.241,0.462,126.019,215160,2187945
0.491,0.588,1,-6.177,0.0506,0.0281,2.01E-06,0.0906,0.193,113.608,269600,1819636
0.473,0.592,5,-6.859,0.138,0.0528,0,0.131,0.292,159.7,138573,948515
0.636,0.888,8,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200,146755
0.688,0.734,9,-4.569,0.0274,0.00462,0,0.0756,0.46,140.004,208493,611231
0.457,0.823,9,-4.76,0.311,0.00144,0,0.108,0.578,192.205,230733,938718
0.637,0.678,0,-3.798,0.266,0.209,0,0.156,0.254,84.039,250760,5550929
0.908,0.669,7,-2.827,0.0738,0.00286,0,0.237,0.662,112.238,290320,11469490
0.949,0.661,5,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,284200,6489755
0.802,0.755,4,-3.138,0.0564,0.0215,0,0.295,0.58,130.027,350320,950561
0.548,0.847,1,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,297787,18992
0.78,0.768,6,-4.325,0.238,0.0371,2.34E-06,0.518,0.507,80.063,404107,5152714
0.749,0.925,10,-5.034,0.227,0.241,0,0.52,0.641,86.989,263373,12696568
0.808,0.745,10,-5.26,0.342,0.145,0,0.292,0.829,165.995,210800,9287567
0.668,0.824,5,-4.164,0.137,0.0017,3.05E-06,0.0426,0.185,163.961,339547,2471743
0.855,0.954,0,-1.19,0.264,0.529,0,0.205,0.668,114.635,248133,11425215
0.647,0.822,5,-4.662,0.183,0.219,0,0.0908,0.962,160.019,232720,718507
0.851,0.819,7,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041,88925
0.893,0.745,11,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4097957
0.877,0.56,7,-3.751,0.0596,0.00721,1.45E-06,0.0839,0.154,119.971,216136,560857
0.81,0.733,9,-6.338,0.0444,0.276,6.73E-06,0.288,0.9,125.975,229283,315368
0.679,0.516,0,-6.371,0.0452,0.199,0,0.0965,0.716,120.074,202008,1081676
0.859,0.563,1,-6.635,0.112,0.0541,0,0.0685,0.412,119.934,258789,431472
0.827,0.571,11,-7.949,0.366,0.0195,0,0.166,0.62,142.034,146419,477302
0.89,0.46,2,-8.155,0.0359,0.432,0,0.11,0.677,112.555,176078,63065
0.894,0.404,9,-5.913,0.13,0.453,1.57E-06,0.0801,0.759,102.009,236507,433116
0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284,200186,24425840
0.912,0.774,0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,418647
0.52,0.761,4,-3.093,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,1480652
0.799,0.539,1,-6.351,0.0421,0.199,1.66E-05,0.165,0.394,136.948,202547,5968729
0.632,0.686,6,-7.665,0.243,0.549,0,0.2,0.329,89.949,170770,2781127
0.596,0.552,0,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4030063
0.736,0.449,1,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,3251468
0.83,0.585,1,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600,12115
0.64,0.647,5,-8.114,0.186,0.124,0,0.0801,0.546,92.979,197867,2754251
0.708,0.648,6,-5.626,0.0449,0.0956,0,0.134,0.338,143.955,201707,1758555
0.778,0.632,2,-5.6,0.0493,0.274,0,0.0915,0.498,122.104,218289,9415668
0.873,0.695,0,-4.207,0.0459,0.419,1.23E-06,0.211,0.823,131.963,158805,3670104
0.695,0.636,5,-4.654,0.317,0.234,0,0.081,0.575,174.14,172235,3361051
0.778,0.824,10,-5.892,0.0707,0.284,0,0.405,0.758,100.024,218093,6540184
0.758,0.871,2,-6.408,0.147,0.0062,0,0.0663,0.753,126.994,202627,20327883
0.831,0.868,11,-5.282,0.0325,0.176,0,0.184,0.483,131.971,194438,1327396
0.687,0.361,10,-11.589,0.0792,0.35,1.11E-05,0.11,0.526,165.747,173133,507258
0.852,0.773,8,-2.921,0.0776,0.187,3.05E-05,0.159,0.907,102.034,195840,10370533
0.595,0.461,6,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,192867,437988
0.839,0.403,0,-11.059,0.0308,0.5,1.81E-06,0.0786,0.575,97.967,254240,4970
0.731,0.675,5,-5.134,0.0434,0.00473,0,0.141,0.298,124.939,139461,1072165
0.628,0.744,7,-4.718,0.0379,0.0257,0,0.313,0.277,119.921,169397,1198821
0.601,0.92,5,-4.802,0.0505,0.000735,0,0.0998,0.537,88.014,170134,294321
0.653,0.718,3,-5.232,0.213,0.00413,0,0.0537,0.216,82.034,202805,1923118
0.654,0.875,1,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171621,854345
0.533,0.858,2,-4.212,0.0766,0.00021,0,0.148,0.506,160.057,205159,1278216
0.697,0.691,2,-4.757,0.146,0.214,0,0.185,0.305,137.853,239293,3621125
